month	active_editors	mobile_edits	net_new_Commons_content_pages	net_new_Wikidata_entities	net_new_Wikipedia_articles	net_new_content_pages	new_active_editors	new_editor_retention	returning_active_editors
2001-01-01	6.0	0.0	0.0	0.0	31.0	10696.0	6.0		0.0
2001-02-01	9.0	0.0	0.0	0.0	133.0	434.0	4.0		5.0
2001-03-01	19.0	0.0	0.0	0.0	437.0	1309.0	12.0	0.5	7.0
2001-04-01	18.0	0.0	0.0	0.0	562.0	1604.0	5.0	0.6	13.0
2001-05-01	21.0	0.0	0.0	0.0	1243.0	3796.0	6.0	0.5384615385	15.0
2001-06-01	24.0	0.0	0.0	0.0	582.0	1359.0	2.0	0.2727272727	22.0
2001-07-01	43.0	0.0	0.0	0.0	1099.0	2460.0	21.0	0.6153846154	22.0
2001-08-01	53.0	0.0	0.0	0.0	1651.0	4129.0	15.0	0.0	38.0
2001-09-01	87.0	0.0	0.0	0.0	3018.0	7308.0	36.0	0.5	51.0
2001-10-01	103.0	0.0	0.0	0.0	4583.0	11081.0	26.0	0.5	77.0
2001-11-01	137.0	0.0	0.0	0.0	3295.0	8020.0	42.0	0.5254237288	95.0
2001-12-01	146.0	0.0	0.0	0.0	2222.0	4755.0	49.0	0.5348837209	97.0
2002-01-01	145.0	0.0	0.0	0.0	2552.0	2572.0	31.0	0.4487179487	114.0
2002-02-01	176.0	0.0	0.0	0.0	8821.0	8897.0	57.0	0.4242424242	119.0
2002-03-01	201.0	0.0	0.0	0.0	4463.0	4486.0	56.0	0.4698795181	145.0
2002-04-01	177.0	0.0	0.0	0.0	3884.0	3921.0	34.0	0.2777777778	143.0
2002-05-01	162.0	0.0	0.0	0.0	4864.0	4880.0	31.0	0.2173913043	131.0
2002-06-01	191.0	0.0	0.0	0.0	4772.0	4817.0	50.0	0.2452830189	141.0
2002-07-01	221.0	0.0	0.0	0.0	5532.0	5560.0	69.0	0.275862069	152.0
2002-08-01	310.0	0.0	0.0	0.0	7671.0	7718.0	111.0	0.2702702703	199.0
2002-09-01	405.0	0.0	0.0	0.0	13060.0	13097.0	153.0	0.2654320988	252.0
2002-10-01	448.0	0.0	0.0	0.0	40836.0	40894.0	169.0	0.2816326531	279.0
2002-11-01	478.0	0.0	0.0	0.0	10099.0	10154.0	162.0	0.2398843931	316.0
2002-12-01	544.0	0.0	0.0	0.0	10418.0	11234.0	184.0	0.269047619	360.0
2003-01-01	808.0	0.0	1.0	0.0	12607.0	12915.0	358.0	0.2304147465	450.0
2003-02-01	885.0	0.0	0.0	0.0	17918.0	18550.0	327.0	0.2376599634	558.0
2003-03-01	762.0	0.0	0.0	0.0	16521.0	16952.0	207.0	0.2001915709	555.0
2003-04-01	803.0	0.0	0.0	0.0	14672.0	15354.0	241.0	0.2358024691	562.0
2003-05-01	1135.0	0.0	0.0	0.0	17879.0	19567.0	430.0	0.2471910112	705.0
2003-06-01	1265.0	0.0	0.0	0.0	16173.0	17132.0	414.0	0.2504038772	851.0
2003-07-01	1507.0	0.0	0.0	0.0	20806.0	22736.0	584.0	0.2332746479	923.0
2003-08-01	1799.0	0.0	0.0	0.0	22032.0	23400.0	699.0	0.2193375112	1100.0
2003-09-01	1828.0	0.0	0.0	0.0	24300.0	29409.0	644.0	0.2142429683	1184.0
2003-10-01	2006.0	0.0	0.0	0.0	26658.0	36074.0	693.0	0.2050168837	1313.0
2003-11-01	2401.0	0.0	0.0	0.0	33654.0	44166.0	888.0	0.2	1513.0
2003-12-01	2688.0	0.0	0.0	0.0	36073.0	37905.0	874.0	0.2172191984	1814.0
2004-01-01	3038.0	0.0	0.0	0.0	42724.0	45097.0	1061.0	0.2303370787	1977.0
2004-02-01	4217.0	0.0	0.0	0.0	53570.0	55988.0	1789.0	0.2598607889	2428.0
2004-03-01	6653.0	0.0	0.0	0.0	75079.0	78321.0	3228.0	0.2444234998	3425.0
2004-04-01	6171.0	0.0	1.0	0.0	60891.0	69408.0	2120.0	0.2609241062	4051.0
2004-05-01	6668.0	0.0	0.0	0.0	63232.0	69741.0	2194.0	0.2204597701	4474.0
2004-06-01	7124.0	0.0	1.0	0.0	61358.0	66234.0	2215.0	0.2196557971	4909.0
2004-07-01	8285.0	0.0	0.0	0.0	79699.0	95070.0	2752.0	0.226590106	5533.0
2004-08-01	8527.0	0.0	1.0	0.0	74072.0	82949.0	2605.0	0.201910321	5922.0
2004-09-01	9765.0	0.0	1109.0	0.0	88062.0	101535.0	3056.0	0.2390022118	6709.0
2004-10-01	10932.0	0.0	6859.0	0.0	83754.0	107034.0	3453.0	0.2273007269	7479.0
2004-11-01	12498.0	0.0	5785.0	0.0	94551.0	124095.0	4084.0	0.2290354331	8414.0
2004-12-01	13169.0	0.0	8523.0	0.0	88144.0	116420.0	3868.0	0.2156811443	9301.0
2005-01-01	13654.0	0.0	9768.0	0.0	88202.0	119814.0	4091.0	0.2079157589	9563.0
2005-02-01	13712.0	0.0	10187.0	0.0	83765.0	116336.0	3820.0	0.1979279867	9892.0
2005-03-01	16032.0	0.0	14842.0	0.0	101032.0	140669.0	4808.0	0.1975738891	11224.0
2005-04-01	19135.0	0.0	18108.0	0.0	113300.0	182898.0	5890.0	0.2009994448	13245.0
2005-05-01	20749.0	0.0	31791.0	0.0	133908.0	197308.0	6166.0	0.2114798413	14583.0
2005-06-01	22610.0	0.0	21331.0	0.0	133598.0	193493.0	6794.0	0.1930542778	15816.0
2005-07-01	26469.0	0.0	22934.0	0.0	149616.0	211952.0	8574.0	0.1987227337	17895.0
