month	central_eastern_europe_central_asia_unique_devices	east_southeast_asia_pacific_unique_devices	latin_america_caribbean_unique_devices	middle_east_north_africa_unique_devices	north_america_unique_devices	northern_western_europe_unique_devices	south_asia_unique_devices	subsaharan_africa_unique_devices
2018-01-01	186496222	286622758	146596872	58246626	326360414	411037177	112673600	25499084
2018-02-01	180963695	259313837	157204445	58590452	316599739	383967777	105933351	21664700
2018-03-01	193991784	269197881	175947954	60231699	328819501	411165697	114924948	20815184
2018-04-01	185348975	255395016	176711203	59866978	320536334	390183738	109102039	22712037
2018-05-01	171317774	283411316	186336660	55765100	320579486	397469384	118341634	27845014
2018-06-01	155724314	262917958	178648781	53138701	309546114	373812153	120006985	26283154
2018-07-01	161695348	261203627	158324806	53463922	305091677	388865984	128530234	25769580
2018-08-01	162748317	278448312	173005206	53664447	304988738	383108993	133345205	26187258
2018-09-01	184755871	277811608	180883807	57188888	308418234	437549717	135602819	25935683
2018-10-01	191606503	277446582	187367103	65150565	314854000	437693849	142166993	27327403
2018-11-01	174920640	293610569	179688878	66735987	317812519	390620660	131254489	27082828
2018-12-01	174588947	340425228	145923434	66649702	310905789	392624864	130309979	25055509
2019-01-01	174286762	330847982	149765972	65492822	307585136	399327998	128513336	25625943
2019-02-01	175883074	292701002	163568441	63494543	305479659	384735242	116948411	26234396
2019-03-01	187847315	324175211	185422027	65273890	313138864	401508042	127678614	28662892
2019-04-01	173680504	305053846	182349813	64886520	307945919	393822568	122460758	28873054
2019-05-01	178230058	287622244	194953669	61979104	309240668	403340209	127759652	29003387
2019-06-01	162867201	277084769	179525288	58164615	298452146	377209031	124132838	26509643
2019-07-01	157358859	285007659	165529136	58639892	298749266	374342566	132014808	27682207
2019-08-01	157861449	280560280	179015419	57651652	294836135	373264137	136405070	28116125
2019-09-01	175991576	403768628	188637348	62069872	303951230	397077508	133864972	28349905
2019-10-01	212591754	370664460	196505203	68715963	318154232	476275608	135681633	30873876
2019-11-01	186745856	366660274	187136520	65119181	310868724	416684777	129510103	30402633
2019-12-01	180357145	317123091	152498580	70696132	310525923	391242667	124829396	27781563
2020-01-01	194909167	332608237	158970079	69283422	322215096	405122732	126121770	28835605
2020-02-01	197820922	296789192	166578958	65483832	310169666	389203234	119015709	29382242
2020-03-01	210092228	288341451	191242737	70955913	324148125	420823868	124178941	31701807
2020-04-01	221054296	290928329	202446810	74995294	338291000	432675075	133053027	30364830
2020-05-01	214020631	285772552	208384492	73217039	336713738	428870310	127579288	31357780
2020-06-01	183927945	276626703	197584946	68892640	319847835	390307264	129235504	30143367
2020-07-01	171502442	288257545	181621044	65323695	320047557	364777301	134472713	29601631
2020-08-01	174621956	289933014	189283876	67183843	324075252	368175129	140078571	30602294
2020-09-01	194718552	293943470	201645045	70576724	336123706	379026311	142504074	30776172
