wiki_db,total_views,unique_pages
en.wikipedia,2656408331,127050
ru.wikipedia,564824112,30018
es.wikipedia,511307820,32290
de.wikipedia,442025973,58034
fr.wikipedia,272215549,38225
ja.wikipedia,265239622,29525
zh.wikipedia,190768797,21910
fa.wikipedia,188279067,22840
it.wikipedia,173230217,26574
ar.wikipedia,166158725,39123
pl.wikipedia,141781928,26045
pt.wikipedia,128168415,24909
uk.wikipedia,69209085,17476
nl.wikipedia,67294318,20715
tr.wikipedia,65521316,11731
hi.wikipedia,57716813,6017
cs.wikipedia,51822810,12708
he.wikipedia,44093779,11897
id.wikipedia,43411030,11235
sv.wikipedia,43084211,17906
ko.wikipedia,37980700,12874
fi.wikipedia,35905658,13166
ro.wikipedia,29073394,8186
vi.wikipedia,27716398,11069
hu.wikipedia,26521267,7770
el.wikipedia,25315392,5401
th.wikipedia,24659262,6024
kk.wikipedia,22530504,7391
bg.wikipedia,19812258,6156
sr.wikipedia,17826575,17325
bn.wikipedia,17323753,3771
hr.wikipedia,14071383,5437
sk.wikipedia,12621184,6530
uz.wikipedia,10512130,3650
ta.wikipedia,10197002,4558
hy.wikipedia,10079431,6258
az.wikipedia,9037803,3464
no.wikipedia,8836756,9426
da.wikipedia,8800452,7218
ms.wikipedia,8671936,4570
lt.wikipedia,8468343,3897
simple.wikipedia,7453972,6933
ca.wikipedia,7255637,15185
sl.wikipedia,6419443,5878
ka.wikipedia,6181727,2375
sh.wikipedia,6029870,12405
sq.wikipedia,5916036,1636
mr.wikipedia,5046650,1056
bs.wikipedia,4911532,3902
ml.wikipedia,4892733,3770
te.wikipedia,4892128,1739
tl.wikipedia,4741158,2157
et.wikipedia,4349141,7194
lv.wikipedia,3755594,2632
ky.wikipedia,3612820,2807
mk.wikipedia,3318133,3157
af.wikipedia,2701491,1931
sw.wikipedia,2538733,1530
kn.wikipedia,2368777,1537
si.wikipedia,1700206,941
eu.wikipedia,1387691,6630
ur.wikipedia,1161097,2695
mn.wikipedia,1067565,314
arz.wikipedia,962258,5855
gu.wikipedia,849046,346
gl.wikipedia,733408,6141
ckb.wikipedia,717387,1658
as.wikipedia,598776,505
my.wikipedia,591926,588
ast.wikipedia,579342,1852
is.wikipedia,527207,1886
tg.wikipedia,524979,2280
la.wikipedia,516485,3184
eo.wikipedia,504556,6292
nn.wikipedia,402659,2402
ne.wikipedia,364139,685
km.wikipedia,343787,84
sn.wikipedia,319343,1400
be.wikipedia,318759,3247
pa.wikipedia,284234,1085
cy.wikipedia,269992,2980
ga.wikipedia,252001,2937
an.wikipedia,245490,728
bh.wikipedia,232953,203
sco.wikipedia,225827,600
am.wikipedia,224433,239
io.wikipedia,222256,1532
ht.wikipedia,198571,2533
als.wikipedia,187583,537
oc.wikipedia,185900,1135
jv.wikipedia,175735,1291
gan.wikipedia,175633,138
su.wikipedia,168783,829
mzn.wikipedia,162478,102
or.wikipedia,159855,2105
fy.wikipedia,154618,916
gn.wikipedia,152527,332
kbp.wikipedia,149678,74
ia.wikipedia,146796,816
wuu.wikipedia,141685,1106
pwn.wikipedia,139203,1
ku.wikipedia,137840,974
yi.wikipedia,134527,747
azb.wikipedia,131374,5586
so.wikipedia,130831,281
qu.wikipedia,122198,744
war.wikipedia,120351,1069
bar.wikipedia,116969,344
br.wikipedia,114865,766
nds.wikipedia,113151,825
li.wikipedia,105225,468
ha.wikipedia,105007,325
bcl.wikipedia,104912,152
wa.wikipedia,103033,903
rue.wikipedia,102457,224
min.wikipedia,97568,231
lb.wikipedia,94066,700
tt.wikipedia,91577,1851
lmo.wikipedia,90233,888
bjn.wikipedia,87810,151
pnb.wikipedia,86213,954
sah.wikipedia,82483,554
scn.wikipedia,74439,485
kab.wikipedia,74438,327
