month,country,wmf_region,current_metric,previous_metric,absolute_change,proportion_current_regional,formula_result_percentage_regional,proportion_current_global,total_formula_result_global
Quarter,Russia,Central & Eastern Europe & Central Asia,148108.33431085045,131777.4491609082,16330.885149942245,0.23821234380703235,15.305328416304413,0.032586372712123814,320815.1318346871
Quarter,Turkey,Central & Eastern Europe & Central Asia,72934.11459353575,65017.69930761622,7916.415285919531,0.11730471793945511,6.132592703134394,0.016046755590307046,320815.1318346871
Quarter,Kazakhstan,Central & Eastern Europe & Central Asia,24773.588812561335,17242.536706349205,7531.05210621213,0.039844987002325465,8.213666756969415,0.005450614256242316,320815.1318346871
Quarter,Ukraine,Central & Eastern Europe & Central Asia,56021.97458455523,49263.26653504442,6758.708049510809,0.09010381443137486,3.2167667294425413,0.012325794847236385,320815.1318346871
Quarter,Uzbekistan,Central & Eastern Europe & Central Asia,13724.106557377048,8658.31551901336,5065.791038363688,0.02207338030572087,6.704179944613115,0.0030195387281917972,320815.1318346871
Quarter,Poland,Central & Eastern Europe & Central Asia,57207.95405669599,53123.2152023692,4084.738854326788,0.09201130296725113,8.35759717299088,0.012586730663495006,320815.1318346871
Quarter,Kyrgyzstan,Central & Eastern Europe & Central Asia,6366.652334152334,3729.065594059406,2637.5867400929283,0.010239904336104827,3.82926040046017,0.0014007726631626966,320815.1318346871
Quarter,Romania,Central & Eastern Europe & Central Asia,22157.793542074363,19570.903865213084,2586.8896768612794,0.03563783198163463,1.1718302740268909,0.004875094451639027,320815.1318346871
Quarter,Serbia,Central & Eastern Europe & Central Asia,18171.413065326633,15801.204498977506,2370.208566349127,0.029226274920438892,0.4168922311851559,0.003998022404396925,320815.1318346871
Quarter,Azerbaijan,Central & Eastern Europe & Central Asia,10501.12759643917,8651.5,1849.6275964391698,0.016889651949729762,0.8245953309905074,0.0023104281021548594,320815.1318346871
Quarter,Georgia,Central & Eastern Europe & Central Asia,6746.896833503575,5277.6122448979595,1469.2845886056157,0.010851476492605374,1.1600526277497247,0.0014844329719174263,320815.1318346871
Quarter,Czechia,Central & Eastern Europe & Central Asia,23515.224852071005,22096.386679920477,1418.8381721505284,0.037821077748430486,3.9638335942109144,0.005173752611589831,320815.1318346871
