month	internal_view_count	none_view_count	search_engine_view_count	internal_data_loss_%	none_data_loss_%	search_engine_loss_%	corrected_internal_view_count	corrected_none_view_count	corrected_search_engine_view_count
2021-06-01	0	0	7487435791	0.0	0.0	2.35	0	0	7663730870
2021-07-01	5694070143	3492304630	7175692983	2.55	3.2	2.35	5839527753	3604058378	7344647936
2021-08-01	5868228009	3609150210	7260637949	2.55	3.2	2.35	6018134561	3724643017	7431592970
2021-09-01	5424254929	3342938892	7239042768	2.55	3.2	2.35	5562819987	3449912937	7409489320
2021-10-01	5563008299	3423647606	7515055789	2.55	3.2	2.35	5705117875	3533204329	7692001193
2021-11-01	5269946820	3281150200	7352981037	4.18	4.77	3.62	5490343525	3437707938	7619263993
2021-12-01	5387676106	3206697773	7216389986	4.18	4.77	3.62	5612996417	3359703067	7477726395
2022-01-01	6064463184	3425166311	7849903675	4.18	4.77	3.62	6318087698	3588595675	8134182330
2022-02-01	5466444655	3202930218	7361440314	1.0	1.0	1.0	5466444655	3202930218	7361440314
2022-03-01	5819117538	3407477348	7718700918	1.0	1.0	1.0	5819117538	3407477348	7718700918
2022-04-01	5529451515	3441851227	7115949874	1.0	1.0	1.0	5529451515	3441851227	7115949874
2022-05-01	5447318379	3757787192	7125726719	1.0	1.0	1.0	5447318379	3757787192	7125726719
2022-06-01	5107222871	3828922628	6512391040	1.0	1.0	1.0	5107222871	3828922628	6512391040
2022-07-01	5311209752	4529149312	6427748939	1.0	1.0	1.0	5311209752	4529149312	6427748939
2022-08-01	5443233086	5125811994	6657787306	1.0	1.0	1.0	5443233086	5125811994	6657787306
2022-09-01	5425318153	5821638421	6877256792	1.0	1.0	1.0	5425318153	5821638421	6877256792
2022-10-01	5525280959	6037235471	7180478468	1.0	1.0	1.0	5525280959	6037235471	7180478468
2022-11-01	5471306478	6773990504	7071861381	1.0	1.0	1.0	5471306478	6773990504	7071861381
2022-12-01	5583779277	4320874578	6987949061	1.0	1.0	1.0	5583779277	4320874578	6987949061
2023-01-01	6070618434	5236083492	7401016491	1.0	1.0	1.0	6070618434	5236083492	7401016491
2023-02-01	5184882054	5577374744	6543612152	1.0	1.0	1.0	5184882054	5577374744	6543612152
2023-03-01	5743580213	5086244786	8442557148	1.0	1.0	1.0	5743580213	5086244786	8442557148
2023-04-01	5519708653	3507518014	7910999743	1.0	1.0	1.0	5519708653	3507518014	7910999743
2023-05-01	5714284331	3757997441	9665535651	0.0	0.0	0.0	5714284331	3757997441	9665535651
2023-06-01	5409358925	3790681794	8803834094	0.0	0.0	0.0	5409358925	3790681794	8803834094
2023-07-01	5758792444	3709782559	9075037546	0.0	0.0	0.0	5758792444	3709782559	9075037546
2023-08-01	5717439347	3956288884	9262688381	0.0	0.0	0.0	5717439347	3956288884	9262688381
2023-09-01	5332138249	4065002949	9159861184	0.0	0.0	0.0	5332138249	4065002949	9159861184
2023-10-01	5739692143	4226594115	10047650733	0.0	0.0	0.0	5739692143	4226594115	10047650733
2023-11-01	5476958361	3739196757	9716627783	0.0	0.0	0.0	5476958361	3739196757	9716627783
2023-12-01	5694531171	3516235828	9943662170	0.0	0.0	0.0	5694531171	3516235828	9943662170
2024-01-01	6275259471	3821824475	12682363567	0.0	0.0	0.0	6275259471	3821824475	12682363567
2024-02-01	5605267016	3599540733	9982962298	0.0	0.0	0.0	5605267016	3599540733	9982962298
2024-03-01	5858529567	4281628805	10388732467	0.0	0.0	0.0	5858529567	4281628805	10388732467
2024-04-01	5583697918	3933832840	10021784232	0.0	0.0	0.0	5583697918	3933832840	10021784232
