month,Central & Eastern Europe & Central Asia,"East, Southeast Asia, & Pacific",Latin America & Caribbean,Middle East & North Africa,North America,Northern & Western Europe,South Asia,Sub-Saharan Africa
2022-06,11684,14939,5188,3194,14082,26772,4017,1309
2022-07,11871,15150,5557,3117,14447,26431,4034,1358
2022-08,11858,15613,5336,3107,14368,26439,4107,1493
2022-09,11332,14785,5050,2934,14326,25902,3992,1413
2022-10,11654,15059,5312,3115,15247,27405,4092,1438
2022-11,11804,14641,5121,2920,15411,27190,3774,1294
2022-12,12526,14687,5300,3208,15122,26845,4017,1293
2023-01,12933,15233,5782,3538,15436,29140,4172,1261
2023-02,12087,14147,5301,2970,14513,26573,3937,1461
2023-03,12426,15093,5465,3079,15762,27999,4450,1625
2023-04,12659,14817,5379,3075,15431,27096,4148,1522
2023-05,12423,14977,5378,3185,15043,27988,3915,1610
2023-06,11577,14543,5372,3393,13933,26631,3824,1670
2023-07,11463,14539,5440,3078,14199,26856,4062,1682
2023-08,11838,14936,5379,3077,14335,27260,4017,1561
2023-09,11434,14347,5095,3016,14136,26022,3879,1450
2023-10,11088,14543,5342,2833,14900,26617,3828,1424
2023-11,11492,14051,5331,2749,15466,27219,3581,1312
2023-12,11562,14273,5418,2911,15107,26602,3891,1426
2024-01,12461,14890,5643,3151,15551,28493,4042,1337
2024-02,11641,13820,5193,2850,14931,27593,3883,1145
2024-03,12047,14568,5136,2987,15728,27815,3901,1469
