month,total_triples
2022-06-01,13956944109
2022-07-01,14038867796
2022-08-01,14107679169
2022-09-01,14190489884
2022-10-01,14292629302
2022-11-01,14372077931
2022-12-01,14430238538
2023-01-01,14518284357
2023-02-01,14585274873
2023-03-01,14653226586
2023-04-01,14703825561
2023-05-01,14894874809
2023-06-01,14991683166
2023-07-01,15079935004
2023-08-01,15189847057
2023-09-01,15281271568
2023-10-01,15352054778
2023-11-01,15410158127
2023-12-01,15463383534
2024-01-01,15549702208
2024-02-01,15619791466
2024-03-01,15715513782
2024-04-01,15836519392
2024-05-01,15929647210
